%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Bede   270
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Columba   6
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	D%C3%A1l_Riata   154
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Great_Britain   384
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Ireland   407
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Isle_of_Man   560
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Monarchy   20
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Orkney   223
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Picts   502
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Scotland   220
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Wales   492
%C3%85land	20th_century   420
%C3%85land	Baltic_Sea   239
%C3%85land	Crimean_War   129
%C3%85land	Currency   502
%C3%85land	Euro   115
%C3%85land	European_Union   29
%C3%85land	Finland   534
%C3%85land	League_of_Nations   71
%C3%85land	List_of_countries_by_system_of_government   243
%C3%85land	Nationality   142
%C3%85land	Parliamentary_system   291
%C3%85land	Police   340
%C3%85land	Russia   231
%C3%85land	Stockholm   329
%C3%85land	Sweden   586
%C3%85land	Time_zone   185
%C3%85land	Tourism   585
%C3%85land	United_Kingdom   228
%C3%85land	World_War_II   343
%C3%89douard_Manet	Absinthe   342
%C3%89douard_Manet	Beer   434
%C3%89douard_Manet	Claude_Monet   350
%C3%89douard_Manet	Diego_Vel%C3%A1zquez   433
%C3%89douard_Manet	Edgar_Allan_Poe   217
%C3%89douard_Manet	France   92
%C3%89douard_Manet	Francisco_Goya   328
%C3%89douard_Manet	Germany   238
%C3%89douard_Manet	Impressionism   251
%C3%89douard_Manet	Italy   165
%C3%89douard_Manet	Landscape   394
%C3%89douard_Manet	Netherlands   143
%C3%89douard_Manet	Painting   585
%C3%89douard_Manet	Paris   569
%C3%89douard_Manet	Photography   208
%C3%89douard_Manet	Raphael   486
%C3%89douard_Manet	Renaissance   84
%C3%89douard_Manet	Sweden   173
%C3%89douard_Manet	United_States_dollar   419
%C3%89douard_Manet	Washington%2C_D.C.   91
%C3%89ire	Canada   417
%C3%89ire	English_language   497
%C3%89ire	George_VI_of_the_United_Kingdom   383
%C3%89ire	Ireland   156
%C3%89ire	Northern_Ireland   63
%C3%89ire	Ottawa   111
%C3%89ire	Republic_of_Ireland   77
%C3%89ire	United_Kingdom   249
%C3%93engus_I_of_the_Picts	D%C3%A1l_Riata   31
%C3%93engus_I_of_the_Picts	Durham   306
%C3%93engus_I_of_the_Picts	England   592
%C3%93engus_I_of_the_Picts	Great_Britain   373
%C3%93engus_I_of_the_Picts	Ireland   75
%C3%93engus_I_of_the_Picts	Lion   277
%C3%93engus_I_of_the_Picts	Mercia   141
%C3%93engus_I_of_the_Picts	Scotland   293
%C3%93engus_I_of_the_Picts	Viking   306
%C3%93engus_I_of_the_Picts	York   470
%E2%82%AC2_commemorative_coins	Athens   467
%E2%82%AC2_commemorative_coins	Atlantic_Ocean   557
%E2%82%AC2_commemorative_coins	Austria   34
%E2%82%AC2_commemorative_coins	Belgium   196
%E2%82%AC2_commemorative_coins	Berlin   35
%E2%82%AC2_commemorative_coins	Brussels   19
%E2%82%AC2_commemorative_coins	Cathedral_of_Magdeburg   164
%E2%82%AC2_commemorative_coins	Cereal   180
%E2%82%AC2_commemorative_coins	Christopher_Columbus   441
%E2%82%AC2_commemorative_coins	Cologne   248
%E2%82%AC2_commemorative_coins	Comet   353
%E2%82%AC2_commemorative_coins	Dresden   260
%E2%82%AC2_commemorative_coins	European_Union   276
%E2%82%AC2_commemorative_coins	Finland   169
%E2%82%AC2_commemorative_coins	France   156
%E2%82%AC2_commemorative_coins	Galileo_Galilei   58
%E2%82%AC2_commemorative_coins	Germany   261
%E2%82%AC2_commemorative_coins	Greece   220
%E2%82%AC2_commemorative_coins	Hamburg   105
%E2%82%AC2_commemorative_coins	Harold_Macmillan   339
%E2%82%AC2_commemorative_coins	Heraldry   405
%E2%82%AC2_commemorative_coins	History   136
%E2%82%AC2_commemorative_coins	Ireland   581
%E2%82%AC2_commemorative_coins	Italy   332
%E2%82%AC2_commemorative_coins	Luxembourg   445
%E2%82%AC2_commemorative_coins	Maize   55
%E2%82%AC2_commemorative_coins	Miguel_de_Cervantes   9
%E2%82%AC2_commemorative_coins	Monaco   587
%E2%82%AC2_commemorative_coins	Munich   284
%E2%82%AC2_commemorative_coins	Netherlands   251
%E2%82%AC2_commemorative_coins	Numismatics   392
%E2%82%AC2_commemorative_coins	Nutrition   150
%E2%82%AC2_commemorative_coins	Pope_John_Paul_II   207
%E2%82%AC2_commemorative_coins	Portugal   362
%E2%82%AC2_commemorative_coins	Rice   346
%E2%82%AC2_commemorative_coins	San_Marino   179
%E2%82%AC2_commemorative_coins	Sanssouci   317
%E2%82%AC2_commemorative_coins	Soviet_Union   511
%E2%82%AC2_commemorative_coins	Spain   359
%E2%82%AC2_commemorative_coins	Suffrage   158
%E2%82%AC2_commemorative_coins	Turin   94
%E2%82%AC2_commemorative_coins	United_Kingdom   111
%E2%82%AC2_commemorative_coins	United_Nations   418
%E2%82%AC2_commemorative_coins	United_States   306
%E2%82%AC2_commemorative_coins	Vatican_City   217
%E2%82%AC2_commemorative_coins	Wheat   510
%E2%82%AC2_commemorative_coins	Zeus   364
15th_Marine_Expeditionary_Unit	Mount_Pinatubo   475
15th_Marine_Expeditionary_Unit	Pakistan   500
15th_Marine_Expeditionary_Unit	Persian_Gulf   589
15th_Marine_Expeditionary_Unit	Royal_Marines   302
15th_Marine_Expeditionary_Unit	Rwanda   456
15th_Marine_Expeditionary_Unit	Somalia   474
15th_Marine_Expeditionary_Unit	Sri_Lanka   514
15th_Marine_Expeditionary_Unit	Sumatra   587
15th_Marine_Expeditionary_Unit	Uganda   81
15th_Marine_Expeditionary_Unit	United_Kingdom   302
15th_Marine_Expeditionary_Unit	United_States   225
15th_Marine_Expeditionary_Unit	World_War_II   252
15th_century	10th_century   32
15th_century	11th_century   445
15th_century	12th_century   318
15th_century	13th_century   13
15th_century	14th_century   281
15th_century	16th_century   1
15th_century	17th_century   92
15th_century	18th_century   598
15th_century	19th_century   306
15th_century	1st_century   345
15th_century	1st_century_BC   46
15th_century	20th_century   64
15th_century	21st_century   200
15th_century	2nd_century   156
15th_century	3rd_century   573
15th_century	4th_century   168
15th_century	5th_century   321
15th_century	6th_century   330
15th_century	7th_century   456
15th_century	8th_century   195
15th_century	9th_century   166
15th_century	Art   380
15th_century	Aztec   434
15th_century	Baghdad   21
15th_century	Battle_of_Grunwald   189
15th_century	Beijing   347
15th_century	Byzantine_Empire   545
15th_century	Christopher_Columbus   270
15th_century	Europe   585
15th_century	France   169
15th_century	Henry_VII_of_England   459
15th_century	Henry_V_of_England   16
15th_century	Hundred_Years%27_War   550
15th_century	Inca_Empire   176
15th_century	India   29
15th_century	Indian_Ocean   230
15th_century	Jew   114
15th_century	Joan_of_Arc   57
15th_century	Johannes_Ockeghem   164
15th_century	Korea   420
15th_century	Leonardo_da_Vinci   402
15th_century	Lithuania   146
15th_century	North_America   484
15th_century	Ottoman_Empire   539
15th_century	Philosophy   238
15th_century	Plato   393
15th_century	Poland   106
15th_century	Portugal   559
15th_century	Renaissance   122
15th_century	Richard_III_of_England   498
15th_century	Spain   90
15th_century	Spanish_Inquisition   224
15th_century	Time   278
15th_century	Timur   524
15th_century	Vasco_da_Gama   246
15th_century	Wars_of_the_Roses   467
15th_century	Zheng_He   206
16_Cygni	16_Cygni_Bb   126
16_Cygni	Binary_star   73
16_Cygni	Day   191
16_Cygni	Extrasolar_planet   295
16_Cygni	Jupiter   468
16_Cygni	Red_dwarf   143
16_Cygni	Solar_System   244
16_Cygni	Sun   580
16_Cygni_Bb	16_Cygni   109
16_Cygni_Bb	Binary_star   410
16_Cygni_Bb	Day   93
16_Cygni_Bb	Earth   102
16_Cygni_Bb	Extrasolar_planet   510
16_Cygni_Bb	Jupiter   513
16_Cygni_Bb	Planet   505
16_Cygni_Bb	Season   55
16_Cygni_Bb	Solar_System   333
16_Cygni_Bb	Star   379
16_Cygni_Bb	Sun   294
16_Cygni_Bb	Water   125
16th_century	10th_century   421
16th_century	11th_century   188
16th_century	12th_century   183
16th_century	13th_century   319
16th_century	14th_century   278
16th_century	15th_century   408
16th_century	17th_century   533
16th_century	18th_century   137
16th_century	19th_century   590
16th_century	1st_century   335
16th_century	1st_century_BC   344
16th_century	20th_century   115
16th_century	21st_century   344
16th_century	2nd_century   471
16th_century	3rd_century   346
16th_century	4th_century   211
16th_century	5th_century   550
16th_century	6th_century   526
16th_century	7th_century   127
16th_century	8th_century   58
16th_century	9th_century   335
16th_century	Akbar   220
16th_century	Amazon_River   161
16th_century	Amsterdam   245
16th_century	Anglicanism   69
16th_century	Aztec   1
16th_century	Babur   236
16th_century	Baghdad   338
16th_century	Brazil   380
16th_century	British_East_India_Company   466
16th_century	Charles_V%2C_Holy_Roman_Emperor   463
16th_century	Edward_VI_of_England   136
16th_century	Egypt   54
16th_century	Elizabeth_I_of_England   582
16th_century	England   455
16th_century	Europe   332
16th_century	Ferdinand_Magellan   325
16th_century	Florida   387
16th_century	France   406
16th_century	Francis_Drake   250
16th_century	Galileo_Galilei   58
16th_century	Germany   149
16th_century	Grand_Canyon   301
16th_century	Heliocentrism   402
16th_century	Henry_VIII_of_England   556
16th_century	Henry_VII_of_England   46
16th_century	Hern%C3%A1n_Cort%C3%A9s   550
16th_century	Holy_Roman_Empire   505
16th_century	Hungary   572
16th_century	India   76
16th_century	Iran   564
16th_century	Ireland   243
16th_century	Italian_Renaissance   296
16th_century	Italy   60
16th_century	Ivan_IV_of_Russia   424
16th_century	Jacques_Cartier   301
16th_century	Japan   598
16th_century	John_Calvin   59
16th_century	Juan_Sebasti%C3%A1n_Elcano   38
16th_century	Leonardo_da_Vinci   313
16th_century	Martin_Luther   462
16th_century	Mary_I_of_England   437
16th_century	Mary_I_of_Scotland   449
16th_century	Miguel_de_Cervantes   516
16th_century	Ming_Dynasty   355
16th_century	Mona_Lisa   304
16th_century	Netherlands   183
16th_century	Nicolaus_Copernicus   79
16th_century	Opera   26
16th_century	Ottoman_Empire   589
16th_century	Pacific_Ocean   266
16th_century	Philip_II_of_Spain   84
16th_century	Polish-Lithuanian_Commonwealth   73
16th_century	Portugal   567
16th_century	Renaissance   423
16th_century	Roman_Catholic_Church   28
16th_century	Science   550
16th_century	Spain   372
16th_century	Spanish_Armada   534
16th_century	Spanish_conquest_of_the_Inca_Empire   457
16th_century	Suleiman_the_Magnificent   448
16th_century	Sun   433
16th_century	Sweden   99
16th_century	Textile   79
16th_century	Thomas_More   493
16th_century	Time   523
16th_century	Vasco_da_Gama   317
16th_century	Wars_of_the_Roses   426
16th_century	Watch   519
16th_century	William_Shakespeare   355
16th_century	William_the_Silent   138
1755_Lisbon_earthquake	Atlantic_Ocean   380
1755_Lisbon_earthquake	Barbados   128
1755_Lisbon_earthquake	Earthquake   587
1755_Lisbon_earthquake	England   231
1755_Lisbon_earthquake	Europe   483
1755_Lisbon_earthquake	Finland   226
1755_Lisbon_earthquake	Geology   350
1755_Lisbon_earthquake	Gottfried_Leibniz   498
1755_Lisbon_earthquake	Immanuel_Kant   253
1755_Lisbon_earthquake	Ireland   339
1755_Lisbon_earthquake	Jean-Jacques_Rousseau   163
1755_Lisbon_earthquake	Lisbon   273
1755_Lisbon_earthquake	Martinique   412
1755_Lisbon_earthquake	Morocco   130
1755_Lisbon_earthquake	North_Africa   31
1755_Lisbon_earthquake	Peter_Paul_Rubens   377
1755_Lisbon_earthquake	Philosophy   79
1755_Lisbon_earthquake	Portugal   403
1755_Lisbon_earthquake	Ren%C3%A9_Descartes   310
1755_Lisbon_earthquake	The_Holocaust   536
1755_Lisbon_earthquake	Tsunami   186
1755_Lisbon_earthquake	Vasco_da_Gama   78
1755_Lisbon_earthquake	Voltaire   572
17th_century	10th_century   202
17th_century	11th_century   507
17th_century	12th_century   430
17th_century	13th_century   519
17th_century	14th_century   332
17th_century	15th_century   348
17th_century	16th_century   209
17th_century	18th_century   470
17th_century	19th_century   63
17th_century	1st_century   337
17th_century	1st_century_BC   456
17th_century	20th_century   230
17th_century	21st_century   155
17th_century	2nd_century   82
17th_century	3rd_century   581
17th_century	4th_century   53
17th_century	5th_century   271
17th_century	6th_century   319
17th_century	7th_century   152
17th_century	8th_century   480
17th_century	9th_century   66
17th_century	Armand_Jean_du_Plessis%2C_Cardinal_Richelieu   282
17th_century	Bacteria   512
17th_century	Banknote   379
17th_century	Baruch_Spinoza   297
17th_century	Bible   250
17th_century	Blaise_Pascal   24
17th_century	British_East_India_Company   169
17th_century	Calculus   437
17th_century	Canada   102
17th_century	Cape_Town   76
17th_century	Charles_II_of_England   38
17th_century	Charles_I_of_England   8
17th_century	China   506
17th_century	Constitutional_monarchy   493
17th_century	Elizabeth_I_of_England   340
17th_century	England   254
17th_century	Finance   101
17th_century	France   209
17th_century	Galileo_Galilei   253
17th_century	Glorious_Revolution   375
17th_century	Gottfried_Leibniz   1
17th_century	Henry_Purcell   484
17th_century	Holy_Roman_Empire   466
17th_century	Hungary   19
17th_century	India   464
17th_century	Ireland   519
17th_century	Isaac_Newton   290
17th_century	Italy   118
17th_century	James_II_of_England   71
17th_century	James_I_of_England   169
17th_century	Japan   120
17th_century	Johann_Sebastian_Bach   289
17th_century	Johannes_Kepler   16
17th_century	John_Locke   436
17th_century	John_Milton   523
17th_century	Louis_XIV_of_France   267
17th_century	Mary_II_of_England   460
17th_century	Ming_Dynasty   27
17th_century	Mississippi_River   39
17th_century	Netherlands   563
17th_century	New_York_City   103
17th_century	New_Zealand   13
17th_century	North_America   571
17th_century	Oliver_Cromwell   8
17th_century	Ottoman_Empire   506
17th_century	Persian_Empire   247
17th_century	Peter_I_of_Russia   198
17th_century	Philosophiae_Naturalis_Principia_Mathematica   543
17th_century	Poland   392
17th_century	Portugal   452
17th_century	Qing_Dynasty   253
17th_century	Ren%C3%A9_Descartes   393
17th_century	Russia   271
17th_century	Scotland   119
17th_century	South_Africa   412
17th_century	Spain   70
17th_century	Speed_of_light   574
17th_century	Sweden   37
17th_century	Taiwan   124
17th_century	Tea   581
17th_century	Telescope   143
17th_century	Thomas_Hobbes   180
17th_century	Time   206
17th_century	William_Harvey   159
17th_century	William_III_of_England   15
17th_century	William_Shakespeare   128
1896_Summer_Olympics	Athens   362
1896_Summer_Olympics	Athletics_%28track_and_field%29   476
1896_Summer_Olympics	Australia   155
1896_Summer_Olympics	Austria   401
1896_Summer_Olympics	British_Empire   438
1896_Summer_Olympics	Christianity   194
1896_Summer_Olympics	Cricket   350
1896_Summer_Olympics	Cyprus   344
1896_Summer_Olympics	Eastern_Orthodox_Church   202
1896_Summer_Olympics	Egypt   191
1896_Summer_Olympics	Europe   591
1896_Summer_Olympics	Football_%28soccer%29   337
1896_Summer_Olympics	France   70
1896_Summer_Olympics	Germany   383
1896_Summer_Olympics	Greece   188
1896_Summer_Olympics	Greek_War_of_Independence   323
1896_Summer_Olympics	Hungary   175
1896_Summer_Olympics	London   395
1896_Summer_Olympics	Olympic_Games   378
1896_Summer_Olympics	Paris   524
1896_Summer_Olympics	Roman_Catholic_Church   465
1896_Summer_Olympics	Roman_Empire   352
1896_Summer_Olympics	Serbia   497
1896_Summer_Olympics	Slovakia   525
1896_Summer_Olympics	Sport   268
1896_Summer_Olympics	Switzerland   39
1896_Summer_Olympics	United_States   104
18th_century	10th_century   474
18th_century	11th_century   135
18th_century	12th_century   120
18th_century	13th_century   538
18th_century	14th_century   433
18th_century	15th_century   596
18th_century	16th_century   28
18th_century	1755_Lisbon_earthquake   170
18th_century	17th_century   369
18th_century	19th_century   222
18th_century	1st_century   520
18th_century	1st_century_BC   112
18th_century	20th_century   425
18th_century	21st_century   47
18th_century	2nd_century   39
18th_century	3rd_century   161
18th_century	4th_century   117
18th_century	5th_century   422
18th_century	6th_century   285
18th_century	7th_century   440
18th_century	8th_century   533
18th_century	9th_century   15
18th_century	Adam_Smith   218
18th_century	Afghanistan   392
18th_century	Alexander_Hamilton   416
18th_century	American_Revolutionary_War   506
18th_century	Anne_of_Great_Britain   289
18th_century	Antoine_Lavoisier   340
18th_century	Antonio_Vivaldi   173
18th_century	Australia   264
18th_century	Benjamin_Franklin   444
18th_century	California   584
18th_century	Capital   335
18th_century	Carl_Friedrich_Gauss   564
18th_century	Carolus_Linnaeus   521
18th_century	Catherine_II_of_Russia   168
18th_century	China   495
18th_century	David_Hume   550
18th_century	Delhi   338
18th_century	Edmond_Halley   263
18th_century	Edmund_Burke   171
18th_century	Edward_Jenner   193
18th_century	Emanuel_Swedenborg   312
18th_century	England   532
18th_century	France   240
18th_century	Frederick_II_of_Prussia   351
18th_century	Freetown   28
18th_century	French_Revolution   357
